concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";30490
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";28675
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";27100
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 4";"Comercial";27249
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 4";"Comercial";25906
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 4";"Comercial";28350
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 4";"Comercial";26775
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";220
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";202
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";217
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";229
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";192
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";220
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";165
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";175
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";152
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";175
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";153
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";170
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 5";"Passeio";120
