Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;54
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;47
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;62
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;52
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;39
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;35
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;38
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;40
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;30
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;31
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2697
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2338
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2799
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2208
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2701
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2162
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2689
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2082
